0,"This Sojourn laptop bag with 30 L capacity from Dakine will hold most 17"" laptops. The padding supports your computer, and unlike most rucksacks, the top has a roll top closure that can be snapped into place so it doesn't unravel. There's a pocket on the front for frequently used items, and the two side pockets can be pulled tightly closed with drawstrings when not in use, so they don't add any extra width to the rucksack.The Sojourn model measures in at 53 cm x 34 cm x 22 cm and is made from polyester canvas and hard-wearing leather. The straps are padded as well as adjustable to make transporting your computer as comfortable as possible.This laptop bag lets you carry around your pride and joy in style. It can also be used as a regular bag if you don't need your computer with you. Colour options include sleek black, bright blue and several crazy patterns to choose from.Dakine offers a great range of laptop bags. If you're looking for something cheaper, a product in the Lid range might be a good option. These have a slightly smaller capacity of 26 L but can still carry laptops up to 15"". On the plus side, the side pockets are more secure with their zip fastenings, and there are also straps for carrying a skateboard should you wish to do so."
1,"The CitySmart is a daypack or laptop backpack from Targus that is designed for professionals or even students on the go. Minimal yet comfortable styling and plenty of storage options to make life easier and a snug and compatc fit makes it ideal for getting around with essential accessories and belongings. Targus are currently an award-winning manufacturer and leading the way in terms of innovation and design. This CitySmart Advanced laptop backpack is another popular gem in its product range.Main FeaturesSome of the more notable features of this backpack include: the Multi-Fit cradle means a snug fit for laptops between 12.5 - 15.6 inches there is an additional pocket for a tablet a trolley strap attaches to your rolling luggage so you don't have to carry two bags the backpack is lightweight and made with durable Polyutherane materials for longer lasting wearLaptop Backpack DesignWhen backpacks are full they can be quite a burden on backs and shoulders, that's why the CitySmart is equipped with padded shoulder straps and ventilated back padding for extra comfort and to help distribute the contents of the backpack more evenly. The overall capacity is 22 litres and the bag weighs just 0.75 kilos when empty."
2,"Rachel - 11/06/15 The No. 21 Mini outdoor rucksack from Fjällräven is the children's version of the No. 21 rucksack. It measures H35 cm x W23 cm x D13 cm and holds 8 litres, which is more than enough for your childs' outdoor needs. Inside you'll find a thermos holder, sitting pad and a pocket that a tablet can fit into. The padded base absorbs shock and makes sure no items inside are damaged. As well as the zipped security pocket inside to place your valuables in, there is a large front pocket and two side pockets.The outer material is G-1000 HeavyDuty which is a waxed fabric. This ensures that the bag stays waterproof as water just rolls off it. The straps and logo are made from natural-toned leather and can easily be fastened by pressing on a button. For extra comfort the shoulder straps are padded so they don't dig into your skin no matter how heavy the rucksack is. The chest strap also makes sure the bag is kept in place on the back and doesn't wobble around which could cause strain.Available in six colours; navy, lake blue, black, green, ochre (yellow) and red your child will be able to pick out their favourite and wear it with pride. If you like the design of the Fjällräven No. 21 Mini you could check out the adult versions in small (15 litres), medium (20 litres) or large (30 litres), which come in even more colours, so you can find the one that best matches your outfit or activity."
3,"Fjällräven is a very popular manufactuter in the backpacks category. This ethical company places a strong emphasis on social responsibility in the production of their packs through carefully sourced materials and durable, long-lasting designs. The Fjällräven Totepack No.2 is a simple shoulder bag, suited to everday use.Fjällräven Totepack No.2This unisex shoulder bag from Fjällräven has a 16 L capacity and contains dedicated pockets for holding your valuables and keys. There is a front zip pocket for storing items that you need quick, easy access to. It is suitable as airline carry on. The bag comes in many different colours so there is something to suit every preference and prices vary, depending on the colour. The bottom of the bag is made from leather while the body is made from heavy duty canvas, making this tote a highly durable option and one that will last well on the road.More from FjällrävenFjällräven have many different bags and backpacks to choose from, each of which is well-constructed and designed to last for a very long time. Popular models include the Fjällräven Kanken and Kanken Mini, along with the Fjällräven Backpack No.21 and Greenland pack. Although their products are not the cheapest, their ethical construction and durability make them a sound, long-term investment that will stand the test of time."
4,"Jacqueline - 10/06/15 Functionality, durability, versatility and comfort - the sporty styled Berghaus Arete Couloir 25 checks all the boxes. Specifically designed for snow adventurers, it comes with storage options for your snowboard, skis and a hydration system. Measuring H26 x W28 x D24, the bag offers a 25 L capacity. It also includes safety features and is compatible with the ABS Vario system. The Arete Couloir 25 will thrill you on the trail.If you come across any problem whilst on the move, be it an emergency or simply a call for attention, the integrated emergency whistle on the chest strap will come in handy. The SOS instruction inside the pack is another safety plus. In addition, the Arete Couloir 25 complies with the IATA-Norm, which is an international air transport standard for baggage. This means it can also be taken as cabin luggage when travelling by air.Made from 450 D Esdura material, including a synthetic inner fibre, this bag is super water repellent. The back panel construction is highly breathable, too - great for active users. Carry this backpack comfortably with the adjustable, ergonomic, padded shoulder straps, chest straps and top/side compression straps. Thanks to the shovel space and avalanche probe pockets, you can carry along your snowboard, skis and other ski equipment securely and comfortably.To optimise safety during an avalanche, the Berghaus Arete Couloir 25 is designed with a fusion 2 back system, which can be removed to attach an ABS Vario system, canisters and triggers.This product is available in koi orange with electro green straps or blue lemonade with koi orange straps."
5,"Lisa - 04/06/15 The Dakine Vagabond 38 L is the ideal companion for a weekend getaway or a short trip away with dimensions of 60 x 36 x 20cm ( H x W x D ) and weighing 1.2 kg. The sturdy polyester canvas material can withstand rough handling, while the leather finishes and patterned straps add a bit of style. The zipped and padded laptop compartment is situated on the side of the pack, giving you quick and easy access and it fits up to 17"" laptops. The quick grab handle on the side makes it easy to lift and manoeuvre the pack by hand if needed.The top of the pack can be removed and used as a hip pack. The hip pack waist belt also converts into a shoulder strap, so you can carry it as a duffel, making this a versatile product. It also has side compression straps which help keep your belongings compact and in place - this comes in especially handy when you haven't filled it up to full capacity. A sternum strap helps keep the pack secure and takes some of the weight off your back. The wide and ergonomically-shaped shoulder straps also have daisy chain attachments, so you can efficiently carry extra gear on the outside of the bag as well.A quick access pocket is located behind the water bottle compartment to the side of the pack, and is hidden for extra security. This compartment helps to organise your belongings and keeps smaller items such as your phone, passport or keys within arms reach. There are three different versions to choose from; black, teal and a patterned design."
6,"Performance and comfort meets ecology! This Vaude Bike Alpin 25+5 is a backpack that offers protection and comfort during riding. It's packed with great features and boasts a 25 L capacity with zip expansion to increase the carrying capacity from 25 to 30 L so there is enough room to carry all your outdoor essentials. The Aeroflex carry system, in addition to the meshed hip belt as well as the hydration system opening and sternum strap, make it highly functional for both on and the off bike. The Alpin 25+5 is one of stylish piece that will stay with you year after year.Adding to the 25+5 L capacity are attachment options good for wet shoes, a helmet and other gear. The main cavity is relatively easy to open and quickly reachable thanks to its easy glide zip. This storage space can be used for provisions, clothing, a hydration bladder and a bike pump, for instance. The lower compartment with integrated rain cover is handy, too. Considering the pack is practical, and boasts the capacity to make your trip more comfortable and rewarding, users who require affordable interior space will find the Vaude Alpin 25+5 worth considering.This model comes in a durable and reflective structure thanks to the 210 D HT Maxi Ripstop (100% polyamide) and 600D polyester material. Endorsed with Vaude's unique Green Shape label, made from at least 90% of organic material, its outstanding contribution to the environment is ensured. A variety of colour options are also available here."
7,"The Deuter ACT Lite 35+10 SL is a 35 litre trekking backpack with a sleek design and ample space and a lightweight feel. Available in various colours, this Deuter backpack combines strong material, anatomical design and storage to make a top product for mountaineering enthusiasts and backpacking globetrotters.Deuter ACT Lite 35+10 SL FeaturesThe key features of this backpack include: Pockets: some of the pockets of this backpack include a pocket on the hip belt for valuables or digicam, front pocket and lid pocket for easy access, a valuables pocket and stretchy side pockets for water bottles etc. Compartments: a special stretch compartment to house sweaty or wet clothes is very useful and a bottom compartment with a removable separator for easy access. SOS Label: this special label provides potentially life-saving information on signalling aircraft and emergency signalling in case you find yourself in a spot of trouble. Hydration System: compatible with Streamer 2.0 l and Streamer 3.0 lLite SystemThis backpack has a special back support system that ensures the weight of your load is spread evenly and at the same time keeping a decent air flow between your back and the bag. The Deuter ACT Lite 35+10 SL boasts the AirContact System which features a breathable hollow foam chamber which shapes itself to each individual back while reducing perspiration by 15%. Load adjustment straps also help distributing the load for a comfortable carry."
8,"Jen - 27/10/15 The Quechua Forclaz 60 is a unisex trekking backpack. Its 61 L capacity holds sufficient gear for a 3-4 day trip. This sporty bag is simple, lightweight and offers plenty of pockets for easy access.The Forclaz is available in several colours: red, orange or blue. Crafted from light polyester, it weighs in at 1.7 kg. The bag measures 69 x 33 x 27 cm (HWD).This trekking backpack contains 5 pockets. The 2 larger outer pockets are ideal for storing items you need to access quickly and frequently, such as sun block, a map or sunglasses. The outer mesh pocket fits a water bottle, and the inner pocket is intended for valuables. A handy belt pocket holds smaller items.Quecha recommends that bedding be packed at the bottom, heavier items, such as a stove or food, towards the back, and clothes in amongst this heavier gear. Simply tighten the compression straps to reduce the size of the backpack. A zipper at the front provides access to items stored underneath. The bag also features pole loops for hiking sticks.Adjustable chest and hip straps help balance the load for ergonomic carrying. Thumb straps provide additional support. The rear is padded for extra comfort and ventilated to keep your back cool on long hikes.The Forclaz is not suited to machine washing, drying or ironing. Should it become soiled on a trek, wash it gently by hand in soapy water, brushing off any excess dirt. Store the backpack in a dry place between adventures. Quechua provides a 10-year guarantee on this product with proper care if the receipt is kept.To sum up, the Quechua Forclaz is a reasonably priced hiking backpack suitable for treks of 3-4 days. This unisex pack offers plenty of pockets and ergonomic adjustments for comfort. This particular product features a 60 L capacity, but the same model is available as a smaller 40 L version."
9,"Lisa - 01/06/15 The rugged and sturdy Thule paramount backpack is ideal for the urban jungle, be it commuting to work, heading to university or for anyone who likes to have all their electronics with them at any given time whilst keeping them protected. It features two way access to the 14"" padded laptop and tablet compartments respectively, either through the side zipper or top entry. With a capacity of 29 L and dimensions of 51.1 x 31 x 26.9 cm ( H x W x D ), there is enough room in the main compartment to be able to store other accessories such as chargers, cables and the like. The high-visibility interior detailing ensures that you can find what you are looking for with ease. An extra padded valuables compartment provides added protection for your belongings.Weighing in at 1.1 kg, it is made from 420D nylon, which has a water-resistant finish that protects your electronic devices from the elements. The welded bottom panels give it that extra bit of protection. The perforated and padded shoulder straps, help make carrying the weight more comfortable and the pack features airflow channels down the back of the pack, which circulate the air and help shift the moisture away from your body, keeping you dry; essential when wearing the rucksack for a prolonged period.A daisy chain attachment system means that you can easily attach a bike light or a carabiner clip. Ideal for extra storage when on the go, this added feature also makes this bag a good choice for cyclists. The extra sternum strap helps keep the pack in place and lessens some of the weight on your back."
